STALPBR,BKCLASS,ZIPBR,DEPSUM,MSABR,UNINUMBR,ASSET,CNTYNAMB,ADDRESBR,YEAR,STCNTYBR,DEPSUMBR,MSANAMB,CERT,CITYBR,BRNUM,ID
GA,NM,30339,3297061,12060,495009.0,3948965,Cobb,"3333 Riverwood Parkway Southeast, Suite 100",2016,13067,630160,"Atlanta-Sandy Springs-Roswell, GA",59010,Atlanta,0,2016_59010_0
GA,NM,30339,3075343,12060,495009.0,3787923,Cobb,"3333 Riverwood Parkway Southeast, Suite 100",2015,13067,398499,"Atlanta-Sandy Springs-Roswell, GA",59010,Atlanta,0,2015_59010_0
GA,NM,30004,3035592,12060,44037.0,3894604,Fulton,8025 Westside Parkway,2006,13121,977305,"Atlanta-Sandy Springs-Roswell, GA",31203,Alpharetta,0,2006_31203_0
GA,NM,31768,3026295,0,14145.0,3524038,Colquitt,225 South Main Street,2014,13071,197995,,20504,Moultrie,0,2014_20504_0
GA,NM,30512,3011203,0,10978.0,4280428,Union,59 Highway 515,2005,13291,687339,,16889,Blairsville,0,2005_16889_0
GA,NM,31210,2939155,31420,428584.0,3569475,Bibb,4219 Forsyth Road,2016,13021,432314,"Macon-Bibb County, GA",57870,Macon,0,2016_57870_0
GA,NM,31902,2921455,17980,556.0,6619221,Muscogee,1148 Broadway,2007,13215,2349161,"Columbus, GA-AL",873,Columbus,0,2007_873_0
GA,NM,30503,2832683,23580,36391.0,3366073,Hall,"111 Green Street, S.E.",1997,13139,400841,"Gainesville, GA",26976,Gainesville,0,1997_26976_0
GA,NM,31902,2814735,17980,556.0,5764431,Muscogee,1148 Broadway,2008,13215,2245793,"Columbus, GA-AL",873,Columbus,0,2008_873_0
GA,SA,30022,2794220,12060,45409.0,4933981,Fulton,11475 Great Oaks Way  Su 100,2005,13121,2795935,"Atlanta-Sandy Springs-Roswell, GA",32575,Alpharetta,0,2005_32575_0
GA,NM,30340,2781178,12060,441400.0,3588794,DeKalb,5114 Buford Hwy Ne,2024,13089,1216080,"Atlanta-Sandy Springs-Roswell, GA",58181,Doraville,0,2024_58181_0
GA,NM,31902,2743882,17980,556.0,5131870,Muscogee,1148 Broadway,2005,13215,2174921,"Columbus, GA-AL",873,Columbus,0,2005_873_0
GA,NM,30340,2732938,12060,441400.0,3459254,Dekalb,5114 Buford Hwy Ne,2023,13089,1212470,"Atlanta-Sandy Springs-Roswell, GA",58181,Doraville,0,2023_58181_0
GA,N,30308,2728383,12060,32882.0,3000457,Fulton,75 Fifth St NW Suite 900,2015,13121,2728383,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2015_26342_0
GA,SA,30005,2726334,12060,45409.0,4151957,Forsyth,1015 Windward Ridge Parkway,2006,13117,2728190,"Atlanta-Sandy Springs-Roswell, GA",32575,Alpharetta,0,2006_32575_0
GA,NM,30340,2724147,12060,441400.0,3609416,DeKalb,5114 Buford Hwy Ne,2025,13089,1153411,"Atlanta-Sandy Springs-Roswell, GA",58181,Doraville,0,2025_58181_0
GA,N,30308,2699794,12060,32882.0,2981524,Fulton,75 Fifth St NW Suite 900,2014,13121,2699794,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2014_26342_0
GA,NM,31750,2662595,0,15471.0,3091464,Ben Hill,302 S Main St,2023,13017,573322,,22257,Fitzgerald,0,2023_22257_0
GA,NM,30305,2645807,12060,14825.0,3373134,Fulton,3490 Piedmont Road Ne,2015,13121,162174,"Atlanta-Sandy Springs-Roswell, GA",21440,Atlanta,0,2015_21440_0
GA,N,30308,2637263,12060,32882.0,2895893,Fulton,75 Fifth St NW Suite 900,2013,13121,2637263,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2013_26342_0
GA,NM,31902,2634961,17980,556.0,6096200,Muscogee,1148 Broadway,2006,13215,2110956,"Columbus, GA-AL",873,Columbus,0,2006_873_0
GA,NM,31750,2591361,0,15471.0,3102490,Ben Hill,302 S Main St,2025,13017,519270,,22257,Fitzgerald,0,2025_22257_0
GA,N,30308,2562406,12060,32986.0,3625512,Fulton,"600 West Peachtree Street, One Georgia Center",1995,13121,457775,"Atlanta-Sandy Springs-Roswell, GA",26382,Atlanta,0,1995_26382_0
GA,NM,31902,2546566,17980,556.0,4971969,Muscogee,1148 Broadway,2004,13215,1960111,"Columbus, GA-AL",873,Columbus,0,2004_873_0
GA,NM,31768,2546405,0,14145.0,2928250,Colquitt,225 South Main Street,2012,13071,203398,,20504,Moultrie,0,2012_20504_0
GA,NM,30503,2535381,23580,36391.0,2959461,Hall,"111 Green Street, S.E.",1996,13139,678485,"Gainesville, GA",26976,Gainesville,0,1996_26976_0
GA,NM,31768,2516870,0,14145.0,2855737,Colquitt,225 South Main Street,2011,13071,245085,,20504,Moultrie,0,2011_20504_0
GA,N,30308,2512799,12060,32882.0,2777293,Fulton,75 Fifth St NW Suite 900,2012,13121,2512799,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2012_26342_0
GA,NM,30339,2501640,12060,495009.0,3056495,Cobb,"3333 Riverwood Parkway Southeast, Suite 100",2014,13067,280818,"Atlanta-Sandy Springs-Roswell, GA",59010,Atlanta,0,2014_59010_0
GA,NM,31750,2484294,0,15471.0,2997254,Ben Hill,302 S Main St,2024,13017,443147,,22257,Fitzgerald,0,2024_22257_0
GA,SA,30022,2479421,12060,45409.0,4280899,Fulton,11475 Great Oaks Way Su 100,2003,13121,2103548,"Atlanta-Sandy Springs-Roswell, GA",32575,Alpharetta,0,2003_32575_0
GA,NM,30512,2474960,0,10978.0,3443486,Union,59 Highway 515,2004,13291,763544,,16889,Blairsville,0,2004_16889_0
GA,SA,30022,2448726,12060,45409.0,4848878,Fulton,11475 Great Oaks Way Su 100,2004,13121,2449130,"Atlanta-Sandy Springs-Roswell, GA",32575,Alpharetta,0,2004_32575_0
GA,NM,31768,2443312,0,14145.0,2807360,Colquitt,"310 First Street, S.E.",2013,13071,183057,,20504,Moultrie,0,2013_20504_0
GA,NM,30340,2441813,12060,441400.0,3163435,Dekalb,5114 Buford Hwy,2022,13089,1242316,"Atlanta-Sandy Springs-Alpharetta, GA",58181,Doraville,0,2022_58181_0
GA,N,30326,2419381,12060,81319.0,2890486,Fulton,"945 E Paces Ferry Rd Ne, Ste 1600",2020,13121,0,"Atlanta-Sandy Springs-Alpharetta, GA",35525,Atlanta,0,2020_35525_0
GA,NM,31750,2403557,0,15471.0,2722323,Ben Hill,302 S Main St,2022,13017,408320,,22257,Fitzgerald,0,2022_22257_0
GA,NM,31210,2362860,31420,428584.0,2760348,Bibb,4219 Forsyth Road,2015,13021,399251,"Macon, GA",57870,Macon,0,2015_57870_0
GA,NM,31210,2360521,31420,428584.0,2772193,Bibb,4219 Forsyth Road,2011,13021,292401,"Macon, GA",57870,Macon,0,2011_57870_0
GA,SA,30005,2290046,12060,45409.0,2473806,Forsyth,1015 Windward Ridge Parkway,2007,13117,2291420,"Atlanta-Sandy Springs-Roswell, GA",32575,Alpharetta,0,2007_32575_0
GA,NM,30305,2236925,12060,14825.0,2672910,Fulton,3490 Piedmont Road Ne,2013,13121,133992,"Atlanta-Sandy Springs-Roswell, GA",21440,Atlanta,0,2013_21440_0
GA,NM,31210,2236076,31420,428584.0,2597324,Bibb,4219 Forsyth Road,2010,13021,188773,"Macon, GA",57870,Macon,0,2010_57870_0
GA,NM,30305,2235638,12060,14825.0,2733526,Fulton,3490 Piedmont Road Ne,2014,13121,102134,"Atlanta-Sandy Springs-Roswell, GA",21440,Atlanta,0,2014_21440_0
GA,NM,30295,2221943,12060,137.0,2396209,Pike,685 Griffin St,2022,13231,221295,"Atlanta-Sandy Springs-Alpharetta, GA",172,Zebulon,0,2022_00172_0
GA,NM,30004,2208555,12060,44037.0,2716638,Fulton,8025 Westside Parkway,2005,13121,688723,"Atlanta-Sandy Springs-Roswell, GA",31203,Alpharetta,0,2005_31203_0
GA,NM,31210,2184411,31420,428584.0,2607528,Bibb,4219 Forsyth Road,2013,13021,219997,"Macon, GA",57870,Macon,0,2013_57870_0
GA,NM,31210,2180623,31420,428584.0,2672167,Bibb,4219 Forsyth Road,2012,13021,254571,"Macon, GA",57870,Macon,0,2012_57870_0
GA,NM,31210,2169735,31420,428584.0,2585676,Bibb,4219 Forsyth Road,2014,13021,248566,"Macon, GA",57870,Macon,0,2014_57870_0
GA,NM,31902,2138347,17980,556.0,4176105,Muscogee,1148 Broadway,2003,13215,1561916,"Columbus, GA-AL",873,Columbus,0,2003_873_0
GA,NM,31768,2086552,0,14145.0,2420096,Colquitt,225 South Main Street,2010,13071,268600,,20504,Moultrie,0,2010_20504_0
